"","V1","V2"
"1",18.3769263407687,42.4558314513439
"2",17.5882660858182,42.6136799957247
"3",17.1676472831779,42.7189123586452
"4",16.9152760015937,42.666296177185
"5",16.6523892499436,42.7925750126896
"6",16.5472345492835,42.9609467933624
"7",16.1686776269073,42.866237666734
"8",15.9373372854551,42.9188538481942
"9",15.9373372854551,43.0556559199909
"10",16.2002240371053,43.2555974095399
"11",15.769089764399,43.5923409708856
"12",15.4115637821548,43.7607127515584
"13",14.7070272877324,44.1079795491962
"14",14.3179548952901,44.6025716549226
"15",14.118160964036,44.7498969630113
"16",13.8657896824518,44.7288504904272
"17",13.6239338709337,44.9919313977285
"18",13.5818719906697,45.3076284864901
"19",13.6449648110657,45.5601861574994
"20",13.8447587423198,45.5180932123312
"21",14.10764549397,45.5496629212073
"22",14.3284703653561,45.4970467397471
"23",14.4651714762142,45.7916973559245
"24",14.6965118176664,45.7496044107563
"25",14.8332129285244,45.6022791026676
"26",15.0435223298446,45.6022791026676
"27",15.1381615604386,45.486523503455
"28",15.3589864318248,45.6128023389596
"29",15.3379554916928,45.8127438285086
"30",15.5692958331449,45.9495459003053
"31",15.5167184828149,46.1810570987305
"32",15.800636174597,46.3494288794033
"33",16.2528013874353,46.5072774237841
"34",16.5787809594815,46.6019865504126
"35",16.7470284805376,46.4651844786159
"36",16.9783688219898,46.3704753519874
"37",17.0940389927159,46.2652429890669
"38",17.262286513772,46.2231500438987
"39",17.409503094696,45.9074529551371
"40",17.6408434361482,45.8653600099689
"41",17.7459981368083,45.7601276470484
"42",17.9457920680624,45.7180347018802
"43",18.871153433871,45.9705923728894
"44",19.007854544729,45.7180347018802
"45",19.1340401855211,45.3707679042424
"46",19.1761020657851,44.9814081614365
"47",18.892184374003,44.9814081614365
"48",18.6923904427488,45.0340243428968
"49",18.4400191611647,45.0024546340206
"50",18.0719777088545,44.8972222711001
"51",17.4936268552241,45.0550708154809
"52",17.1361008729799,45.1392567058173
"53",16.2528013874353,45.1708264146934
"54",15.9373372854551,44.9814081614365
"55",15.9373372854551,44.8551293259319
"56",16.1897085670393,44.5499554734623
"57",16.2317704473033,44.4131534016657
"58",16.4105334384254,44.07640984032
"59",16.6839356601416,43.9711774773995
"60",16.9047605315277,43.7291430426823
"61",17.1150699328479,43.6449571523459
"62",17.283317453904,43.4344924265048
"63",17.4725959150921,43.1924579917876
"64",17.8406373674023,43.066179156283
"65",18.1350705292505,42.9293770844863
"66",18.4925965114947,42.666296177185
"67",18.6503285624848,42.4874011602201
